"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"prev","women_vitA","SierraLeone","climate_soil",3,"Gambia+Ghana+Malawi",0.0274505406523006
"prev","child_iron","Gambia","full",1,"Ghana",0.646345537429305
"prev","child_iron","Gambia","climate_soil",1,"Ghana",0.608744024236344
"prev","child_iron","Gambia","full",1,"Malawi",-0.395372123928356
"prev","child_iron","Gambia","climate_soil",1,"Malawi",0.266770498925211
"prev","child_iron","Gambia","full",2,"Ghana+Malawi",0.594504397938418
"prev","child_iron","Gambia","climate_soil",2,"Ghana+Malawi",0.600066751961045
"prev","child_iron","Gambia","full",2,"Ghana+SierraLeone",0.642340642533014
"prev","child_iron","Gambia","climate_soil",2,"Ghana+SierraLeone",0.590499503042126
"prev","child_iron","Gambia","full",2,"Malawi+SierraLeone",-0.347313385172856
"prev","child_iron","Gambia","climate_soil",2,"Malawi+SierraLeone",0.388252310779393
"prev","child_iron","Gambia","full",3,"Ghana+Malawi+SierraLeone",0.628546004556898
"prev","child_iron","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.565135168698945
"prev","child_iron","Ghana","full",1,"Gambia",0.548408621898733
"prev","child_iron","Ghana","climate_soil",1,"Gambia",0.429674799984912
"prev","child_iron","Ghana","full",1,"Malawi",-0.167835026045811
"prev","child_iron","Ghana","climate_soil",1,"Malawi",0.52707765389257
"prev","child_iron","Ghana","full",2,"Gambia+Malawi",0.474649732528026
"prev","child_iron","Ghana","climate_soil",2,"Gambia+Malawi",0.517026113413093
"prev","child_iron","Ghana","full",2,"Gambia+SierraLeone",0.539627801735554
"prev","child_iron","Ghana","climate_soil",2,"Gambia+SierraLeone",0.465269246597605
"prev","child_iron","Ghana","full",2,"Malawi+SierraLeone",-0.0549979175098651
"prev","child_iron","Ghana","climate_soil",2,"Malawi+SierraLeone",0.454075485609097
"prev","child_iron","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.528419762990682
