"outcome","country","rank_from","set","fraction","rep","design","n_units","n_raw_total","n_eff_total","rho_train","rho_obs","mae","spearman","capture"
"child_vitA","Gambia","prev","full",0.15,1,"C_regional_survey",30,1020,656.8,0.264,0.654,9.02587525193464,0.625278871937062,0.306011767200004
"child_vitA","Gambia","prev","full",0.15,2,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.97519073438132,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,2,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,13.5858523975279,0.279764103467602,0.0952462226487111
"child_vitA","Gambia","prev","full",0.15,2,"B_district_survey",30,1020,656.8,0.264,0.654,13.2411768684637,0.511157328722045,0.258059424941142
"child_vitA","Gambia","prev","full",0.15,2,"C_regional_survey",30,1020,656.8,0.264,0.654,13.5975001959865,0.179040607226164,0.0777464265750897
"child_vitA","Gambia","prev","full",0.15,3,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.03889319745135,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,3,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.6947872442116,0.331440275445694,0.167860883405274
"child_vitA","Gambia","prev","full",0.15,3,"B_district_survey",30,1020,656.8,0.264,0.654,15.7299892316576,0.706174277628056,0.218205395606117
"child_vitA","Gambia","prev","full",0.15,3,"C_regional_survey",30,1020,656.8,0.264,0.654,10.8094375522764,0.366715152364251,0.250670763758896
"child_vitA","Gambia","prev","full",0.15,4,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.46128951202844,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,4,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.37393528868966,0.658202966358888,0.26856381374675
"child_vitA","Gambia","prev","full",0.15,4,"B_district_survey",30,1020,656.8,0.264,0.654,12.9789510331754,0.549149648419737,0.224228948114363
"child_vitA","Gambia","prev","full",0.15,4,"C_regional_survey",30,1020,656.8,0.264,0.654,9.53768646995301,0.625278871937062,0.306011767200004
"child_vitA","Gambia","prev","full",0.15,5,"A1_anchor_rank",30,1020,656.8,0.264,0.654,10.5825301770292,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,5,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.4432888986342,0.408954533412832,0.190316660826194
"child_vitA","Gambia","prev","full",0.15,5,"B_district_survey",30,1020,656.8,0.264,0.654,13.6184175550839,0.640027111653458,0.179489565437836
"child_vitA","Gambia","prev","full",0.15,5,"C_regional_survey",30,1020,656.8,0.264,0.654,10.2432468507141,0.442602922432193,0.152561034901834
"child_vitA","Gambia","prev","full",0.15,6,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.16848272347011,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.15,6,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.66061955018268,0.586480003527225,0.26856381374675
