"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Gambia","child_iron",5,3,"rf","domain_index","domain_index","rf",0.599645035508275,0.743285816862132,0.565990068660486,0.992618633207016
"Gambia","child_iron",5,4,"rf","domain_index","domain_index","enet",0.429605702195489,0.713290204669515,0.601667885085365,0.24359521685123
"Gambia","child_iron",5,1,"rf","enet","domain_index","mean",0.467169797997567,0.476924461258126,0.592587711132963,0.00246045559766148
"Gambia","child_iron",5,2,"rf","domain_index","domain_index","mean",0.363075726889465,0.868703119163082,0.872479420489003,0.00331841113082662
"Gambia","women_iron",1,4,"enet","domain_index","domain_index","mean",0.426974275970144,0.944685135806719,0.638369743444388,0.00245833942942938
"Gambia","women_iron",1,2,"enet","enet","enet","enet",0.0735164202718901,0.419142338733356,0.153747928306119,0.00246045559766148
"Gambia","women_iron",1,3,"enet","enet","domain_index","domain_index",0.112770955600956,0.422897383660309,0.550187612018163,0.992618633207016
"Gambia","women_iron",1,5,"rf","rf","rf","rf",0,0.288809962310957,0.508630632706445,0.00228383409011332
"Gambia","women_iron",1,1,"rf","domain_index","domain_index","mean",0.554959914164251,0.703548827930941,0.618710971547252,0.00245833942942938
"Gambia","women_iron",2,3,"rf","domain_index","domain_index","mean",0.886239999061583,0.909262033657543,0.79249021689791,0.00246045559766148
"Gambia","women_iron",2,5,"enet","enet","enet","domain_index",0.104464828897607,0.424165920196591,0.501551501822949,0.992618633207016
"Gambia","women_iron",2,1,"rf","domain_index","domain_index","mean",0.760678309322005,1,0.91300483555154,0.256248698242105
"Gambia","women_iron",2,4,"rf","domain_index","domain_index","mean",0.502256391467926,0.822483830651797,0.786501877642252,0.00246045559766148
"Gambia","women_iron",2,2,"enet","domain_index","enet","enet",0.63757137384637,0.810562239703841,0.385440870209303,0.00245947626872162
"Gambia","women_iron",3,5,"rf","domain_index","domain_index","mean",1,1,0.784784635829047,0.00246045559766148
"Gambia","women_iron",3,1,"rf","domain_index","domain_index","enet",0.232285036312415,0.660411018493914,0.562632666730439,0.00246045559766148
"Gambia","women_iron",3,3,"rf","domain_index","domain_index","enet",1,1,0.809226797242758,0.00331841113082662
"Gambia","women_iron",3,2,"rf","domain_index","domain_index","enet",0.758507692130374,0.907147998080717,0.824515326749723,0.00245833942942938
"Gambia","women_iron",3,4,"rf","domain_index","domain_index","mean",0.884331492690622,0.84236888096139,0.81950190926557,0.0136956057209724
"Gambia","women_iron",4,2,"rf","rf","rf","mean",0.649613705491725,0,0.258478387631077,0.246836110497401
"Gambia","women_iron",4,4,"rf","rf","domain_index","enet",0.580182336562299,0.436264577539159,0.716446800774139,0.254588522570062
"Gambia","women_iron",4,5,"rf","rf","domain_index","mean",0,0.126811663207938,0.637540926836345,0.00246045559766148
"Gambia","women_iron",4,1,"enet","domain_index","domain_index","mean",0.52418596519314,0.966713645962106,0.833592635776724,0.0745294594577674
"Gambia","women_iron",4,3,"rf","rf","domain_index","mean",0.412984156772535,0.636525216905832,0.877445076274543,0.00246045559766148
"Gambia","women_iron",5,5,"enet","domain_index","domain_index","mean",1,0.929614258497632,0.604157158077273,0.00246045559766148
"Gambia","women_iron",5,3,"rf","domain_index","domain_index","domain_index",0.540598943779556,1,0.710492095184099,0.992618633207016
"Gambia","women_iron",5,4,"rf","domain_index","domain_index","enet",0.553201008208863,0.888653078197849,0.786015292425943,0.00246045559766148
