"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
14,0.773,0.482,0.495,14.06,13.31,-4.53,0.33,"women_folate","sierraleone","zscore + decorr20","oracle_national"
14,0.773,0.242,0.327,51.3,26.22,-44.09,0.09,"women_folate","sierraleone","zscore + ridge_all","train_mean"
14,0.773,0.298,0.327,17.99,17.44,-4.41,0.17,"women_folate","sierraleone","zscore + ridge_all","oracle_national"
14,0.773,0.351,0.49,57.24,32.63,-47.03,0.1,"women_folate","sierraleone","zscore + curated16","train_mean"
14,0.773,0.472,0.49,13.63,12.71,-4.92,0.35,"women_folate","sierraleone","zscore + curated16","oracle_national"
97,0.6,-0.072,-0.057,22.29,21.6,-5.48,-0.33,"women_folate","malawi","spatial_tps","train_mean"
97,0.6,-0.071,-0.057,22.11,22.04,1.75,-0.25,"women_folate","malawi","spatial_tps","oracle_national"
97,0.6,0.048,0.06,29.61,20.79,-21.09,7.38,"women_folate","malawi","spatial + decorr20","train_mean"
97,0.6,0.084,0.06,30.9,29.65,8.72,0.08,"women_folate","malawi","spatial + decorr20","oracle_national"
97,0.6,0.288,0.378,29.67,20.78,-21.17,208.96,"women_folate","malawi","spatial + curated16","train_mean"
97,0.6,0.39,0.378,29.2,27.58,9.6,0.29,"women_folate","malawi","spatial + curated16","oracle_national"
97,0.6,0.21,0.197,46.4,31.15,34.39,0.16,"women_folate","malawi","zscore + screen30","train_mean"
97,0.6,0.203,0.197,34.91,33.18,10.88,0.14,"women_folate","malawi","zscore + screen30","oracle_national"
97,0.6,NA,NA,43.26,20.79,37.94,NA,"women_folate","malawi","zscore + decorr20","train_mean"
97,0.6,NA,NA,20.83,20.79,1.26,NA,"women_folate","malawi","zscore + decorr20","oracle_national"
97,0.6,0.415,0.461,44.72,27.7,35.1,0.3,"women_folate","malawi","zscore + ridge_all","train_mean"
97,0.6,0.352,0.461,32.97,30.56,12.37,0.24,"women_folate","malawi","zscore + ridge_all","oracle_national"
97,0.6,NA,NA,43.26,20.79,37.94,NA,"women_folate","malawi","zscore + curated16","train_mean"
97,0.6,NA,NA,20.83,20.79,1.26,NA,"women_folate","malawi","zscore + curated16","oracle_national"
