"outcome","column","rank","beta","beta_std","domain","country","Admin2","x","contribution"
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Makwangwala",0.347261247029718,1.22118723761706
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Njolomole",0.282216147062508,0.992448077607409
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Phambala",0.0826166288083851,0.290531620152571
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Chilooko",-0.436393243358131,-1.53463095559771
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Nthondo",0.0103155256370007,0.0362758250883631
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Kalumo",-0.4025996076355,-1.41579144496949
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","TA Mkhumba",-0.565084249735086,-1.98718883796396
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","Rumphi Boma",-2.86919144321933,-10.089867506695
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Chapinduka",-1.93087960915984,-6.79017758603865
"child_vitA","ihme_wastingprevalence",1,3.51662400588153,3.48225766614006,"Child anthropometry","Malawi","SC Kachulu",-1.67136195530312,-5.87755157453605
