"country","outcome","rep","fold","pick_mse","pick_rank","w_mse_index","w_rank_index","w_mse_mean","w_rank_mean"
"Gambia","child_vitA",4,1,"rf","domain_index",0.42502703080357,1,0.57497296919643,0
"Gambia","child_vitA",4,3,"rf","domain_index",0.211379188011131,0.925818127662014,0.113914380810075,0.0741818723379862
"Gambia","child_vitA",5,5,"rf","domain_index",0.0177123824572622,0.601710088582847,0,0.233960997102386
"Gambia","child_vitA",5,3,"rf","domain_index",0.474352782760689,0.887010182487275,0.525647217239311,0.112989817512725
"Gambia","child_vitA",5,4,"rf","domain_index",0.0700450707652233,0.873672804103217,0,0.126327195896783
"Gambia","child_vitA",5,1,"rf","domain_index",0.254833718747528,0.828617921383697,0.516053006281324,0.144389967276521
"Gambia","child_vitA",5,2,"rf","domain_index",0.298996007596735,1,0.701003992403265,0
"Gambia","women_vitA",1,4,"rf","domain_index",0.177228875185578,0.704756520403591,0,0.11345990838895
"Gambia","women_vitA",1,2,"rf","domain_index",0.581543142973257,0.593427742476509,0.199704807208816,0.24937971702698
"Gambia","women_vitA",1,3,"enet","enet",0.280975263830916,0.435564291574394,0.165290172767457,0.0303265230106358
"Gambia","women_vitA",1,5,"mean","domain_index",0.20243437274542,0.684811302097217,0.79756562725458,0.315188697902783
"Gambia","women_vitA",1,1,"rf","domain_index",0.529842471928635,0.905421952436774,0.470157528071365,0.0945780475632261
"Gambia","women_vitA",2,3,"rf","domain_index",0.24017178052372,0.422673278492149,0.0392390601652904,0.213531297949926
"Gambia","women_vitA",2,5,"rf","domain_index",0.309879173014414,0.234516615330259,0.492124517441019,0.376770038698855
"Gambia","women_vitA",2,1,"rf","domain_index",0.615026162455432,0.786983735850767,0.384973837544568,0.213016264149233
"Gambia","women_vitA",2,4,"enet","domain_index",0.299845315219869,0.727106691159393,0.235933152689067,0.272893308840607
"Gambia","women_vitA",2,2,"rf","domain_index",0.542080382674002,0.803461536015534,0.457919617325998,0.196538463984466
"Gambia","women_vitA",3,5,"rf","domain_index",0.400593493936649,0.663517527691618,0,0
"Gambia","women_vitA",3,1,"rf","domain_index",0.479249734977347,0.833246257769381,0.169047596542742,0.0479012441120325
"Gambia","women_vitA",3,3,"rf","domain_index",0.588384225674519,0.991841357867202,0.411615774325481,0.00815864213279805
"Gambia","women_vitA",3,2,"rf","domain_index",0.531140015220754,0.914888153688675,0.468859984779246,0.085111846311325
"Gambia","women_vitA",3,4,"rf","domain_index",0.454961056250877,0.769694630710599,0.545038943749123,0.230305369289401
"Gambia","women_vitA",4,2,"rf","domain_index",0.563148586977809,0.821957032745433,0.436851413022191,0.129891896202376
"Gambia","women_vitA",4,4,"enet","enet",0.11236763341846,0.189159286424945,0,0.118868907245444
"Gambia","women_vitA",4,5,"enet","domain_index",0.501653638903283,0.609420013260903,0.46861729229299,0.260542556443545
"Gambia","women_vitA",4,1,"rf","domain_index",0.528385985454068,0.860073432798408,0.471614014545932,0.139926567201592
"Gambia","women_vitA",4,3,"rf","domain_index",0.517238616752929,0.639451101161764,0.482761383247071,0.121300446103153
"Gambia","women_vitA",5,5,"rf","domain_index",0.526691365854223,0.447177029715749,0.473308634145777,0.227688221540159
"Gambia","women_vitA",5,3,"rf","domain_index",0.398018907449109,0.514899726046758,0.336556085459396,0
"Gambia","women_vitA",5,4,"rf","domain_index",0.611917103866124,0.851616408584624,0.388082896133876,0.148383591415376
"Gambia","women_vitA",5,1,"rf","domain_index",0.587918229431667,0.813145500455225,0.298044613784734,0.0584686410711764
"Gambia","women_vitA",5,2,"rf","domain_index",0.684285109793534,0.945626716541138,0.315714890206466,0.0543732834588621
"Gambia","child_iron",1,4,"rf","domain_index",0.514414238051953,1,0.242341779337166,0
"Gambia","child_iron",1,2,"rf","domain_index",0.480555997744172,0.735267999412761,0.519444002255828,0.264732000587239
"Gambia","child_iron",1,3,"rf","domain_index",0.482599880595683,0.525900003192348,0.349824178507052,0.18194260259151
"Gambia","child_iron",1,5,"rf","domain_index",0.199500785409942,0.718918269711952,0.217828921007304,0.281081730288048
"Gambia","child_iron",1,1,"rf","domain_index",0.350258172750092,0.910554929091329,0,0.0894450709086714
"Gambia","child_iron",2,3,"rf","domain_index",0.467142019619479,0.918027711288432,0.532857980380521,0.0819722887115681
"Gambia","child_iron",2,5,"rf","domain_index",0.522495453384025,0.882195266143984,0.477504546615975,0.117804733856016
"Gambia","child_iron",2,1,"rf","domain_index",0.27975118955862,0.883564893547733,0,0.116435106452267
"Gambia","child_iron",2,4,"rf","domain_index",0.473028290814049,0.789150505736912,0.526971709185951,0.210849494263088
"Gambia","child_iron",2,2,"rf","domain_index",0.438111346749354,0.804070493851516,0.407370203331632,0.195929506148484
"Gambia","child_iron",3,5,"rf","domain_index",0.574055299336506,0.835128893266791,0.425944700663494,0.164871106733209
"Gambia","child_iron",3,1,"rf","enet",0.576314120220951,0.357685095859704,0,0.0424397039612229
"Gambia","child_iron",3,3,"rf","rf",0.248507435324388,0.432600844192795,0,0.167315962361715
